PRODUCT_CODE,DESCRIPTION,PRICE
52,DH Hill butterscotch pudding,10.95
60,Pack Pup instant mashed russet potatoes,12.02
32,Wolfpack cocktail sauce,1.34
8,Talley fat-free white chocolate pudding,6.95
50,Main Campus fresh applesauce,7.92
47,Talley no sugar added peanut butter and jelly,1.97
34,Tuffy gluten-free taco shells,9.21
57,Sturgill's cholesterol-free multigrain sandwich bread,8.56
10,Schmidt's no MSG added lamb chop,2.81
22,Sturgill's fat-free dried navy beans,3.98
12,Daniels no MSG added greek yogurt,2.63
45,Daniels soy sauce,11.88
5,Talley fresh worcestershire sauce,7.74
7,Hunt lactose-free salsa verde,6.98
36,Avent Ferry canned green beans,3.03
15,Hillsborough ground beef,0.48
25,Witherspoon orange soda,4.78
55,Farmer's sunflower seed butter,1.25
31,Centennial tomato puree,6.63
44,Hunt basil,3.47
41,Daniels white onion,13.47
40,Oval Drive free range carolina bbq sauce,1.79
28,Reynold's instant mashed russet potatoes,5.83
2,Heil's vanilla pudding,7.25
13,Pack chili powder,7.25
19,Gorman pineapple,0.01
11,Pullen Park low cholesterol deli roast beef,6.33
4,Oval Drive seltzer water,8.47
48,Western Blvd cholesterol-free tilapia fillet,4.31
35,Reynold's cholesterol-free chocolate chip cookies,2.99
39,Howling Wolf low cholesterol mayonnaise,4.72
14,Poe's cage free ground cloves,5.45
64,Daniels tonic water,7.81
23,Pack Pup non GMO lamb chop,14.18
54,Farmer's ground chicken,6.88
38,DH Hill chili powder,14.23
49,Wolf Leader cookie cereal,3.62
53,Centennial mustard,4.6
51,Vet School no MSG added taco kit,2.25
3,DH Hill yogurt,14.12
42,Farmer's dried lima beans,1.31
16,Pullen Park fresh king salmon fillet,6.73
33,Brown's low cholesterol 6-inch tortilla,9.21
17,Heil's no MSG added neopolitan ice cream,8.09
62,Pullen Park beef jerky,0.88
43,Lake Raleigh no sugar added watermelon,4.39
61,Howling Wolf sweet potato,3.93
6,Heckman's jalapeno pepper,1.31
9,Fairgrounds ricotta cheese,9.23
20,Hunt chocolate ice cream,11.7
27,Farmer's all-natural biscuit mix,2.03
1,Reynold's non GMO ginger,0.57
29,Dan Allen lactose-free taco kit,14.05
59,Witherspoon broccoli,14.13
46,Balik's free range salted butter,14.27
56,Avent Ferry canned lima beans,13.54
26,Campus Corner ham hock,3.44
18,Hunt cholesterol-free frozen supreme pizza,12.71
63,Pack cage free thyme leaves,13.2
58,Centennial mustard,1.27
21,Wolfpack cage free smoky bbq sauce,2.26
24,Campus Corner waffle cones,14.13
37,North Shore vanilla ice cream,6.61
30,DH Hill heavy cream,0.35
