PRODUCT_CODE,DESCRIPTION,PRICE
256,Wolfpack ground allspice,9.12
255,Balik's grain-free cookie cereal,0.21
254,Howling Wolf eggs,4.14
253,Gorman fresh shredded carrots,1.64
252,King's orange soda,14.35
251,Oval Drive white sandwich bread,1.24
250,Wolves Den paper utensils,10.64
249,Howling Wolf organic vanilla pudding,13.68
248,State cholesterol-free ground thyme,2.68
247,Witherspoon tonic water,8.8
246,Lake Raleigh multigrain sandwich bread,0.13
245,Main Campus whole chicken,9.11
244,Harrelson non GMO vanilla frosting,14.9
243,Centennial jalapeno pepper,11.84
242,Balik's fat-free canned chickpeas,13.46
241,Wolf Leader cage free ibuprofen,14.15
240,State birthday cake ice cream,3.87
239,Balik's cholesterol-free basmati rice,10.06
238,Dan Allen fat-free aspirin,1.49
237,Pack Pup all-natural spicy salsa,13.16
236,Ms. Wuf's grain-free ground pork,0.67
235,Daniels fat-free canned chickpeas,3.94
234,Schmidt's fat-free unsalted butter,2.61
233,King's dinner rolls,13.13
232,Western Blvd aspirin,10.2
231,Withers cage free english muffins,6.39
230,Pullen Park cholesterol-free smoky bbq sauce,8.85
229,Engineering grain-free whole nutmeg,3.36
228,Lake Raleigh grain-free canned chickpeas,10.59
227,Ms. Wuf's all-natural ground allspice,11.41
226,Reynold's honey mustard,1.38
225,Leader of the Pack sharp cheddar cheese,4.76
224,Pullen Park canned potatoes,4.83
223,Leader of the Pack whole cloves,4.43
222,Wolfpack gluten-free cupcake liners,9.54
221,Brown's orange soda,6.76
220,Reynold's grits,5.35
219,Pack Pup red potato,8.46
218,Lake Raleigh grain-free brown rice,13.88
217,Howler fat-free cilantro,3.34
216,Hunt peach jam,8.97
215,Gorman canteloupe,12.09
214,Withers ibuprofen,1.83
213,Harrelson fresh sour cream and cheddar chips,0.81
212,Avent Ferry grain-free yogurt,14.03
211,Howling Wolf chocolate chip cookies,4.41
210,Engineering tomato sauce,9.64
209,Gorman vanilla pudding,10.5
208,Witherspoon black pepper,11.25
207,Harrelson cookie cereal,12.82
206,Tuffy peach jam,6.25
205,Hillsborough gluten-free canned garden peas,7.48
204,Pack Pup no MSG added canned chickpeas,9.85
203,Ms. Wuf's pizza dough,4.55
202,Witherspoon grain-free cookie cereal,8.45
201,Pack mustard,4.65
200,Vet School instant mashed red potatoes,5.0
199,Engineering sweet potato,10.88
198,Harrelson low-sodium cooked large shrimp,11.56
197,Avent Ferry no MSG added brown rice,3.49
196,State beef jerky,8.32
195,Withers peach jam,4.47
194,Stinson low cholesterol seltzer water,10.69
193,DH Hill all-natural pork tenderloin,12.78
192,Belltower low cholesterol shampoo,11.0
191,Leader of the Pack fat-free breadsticks,5.83
190,Leader of the Pack lactose-free tomato puree,8.88
189,Avent Ferry all-natural smoked ham hock,7.92
188,Wolf Leader cage free cheese crackers,1.5
187,Belltower basmati rice,11.53
186,Vet School ground rosemary,9.03
185,Dan Allen red potato,9.34
184,Leader of the Pack organic white bread,11.67
183,Belltower grain-free orange cake mix,2.39
182,Gorman fresh unsalted butter,10.55
181,Balik's dried navy beans,9.44
180,Tuffy ground allspice,7.36
179,Vet School butter crackers,4.73
178,Wolf Leader cage free yellow cake mix,2.8
177,Wolf Leader grain-free sweet pickle cubes,9.29
176,Balik's half and half,5.82
175,Tuffy shredded wheat cereal,1.26
174,Talley instant mashed russet potatoes,3.87
173,Mr. Wuf's onion powder,11.11
172,Schmidt's pretzel sticks,4.76
171,Main Campus vanilla ice cream,5.42
170,Wolves Den lactose-free cottage cheese,3.1
169,DH Hill aspirin,4.58
168,Heil's fat-free macaroni and cheese with broccoli,2.56
167,Witherspoon spaghetti noodles,14.03
166,Wolf Leader smoked sausage,9.13
165,Reynold's sweet potato,6.34
164,Witherspoon no sugar added smoked turkey wing,6.43
163,Harrelson no sugar added lemonade,0.3
162,Poe's fresh vanilla wafers,2.89
161,Wolf Leader spicy taco sauce,7.97
160,Centennial chocolate chip cookies,1.11
159,Engineering low cholesterol cocktail sauce,3.08
158,Red and White canned peas and carrots,7.02
157,Hillsborough lactose-free ground mustard,14.7
156,Howling Wolf smoked ham hock,9.74
155,Dan Allen free range mustard,5.67
154,Campus Corner tilapia fillet,10.52
153,North Shore lactose-free ranch dressing,2.3
152,Hillsborough fat-free paper plates,8.91
151,North Shore lactose-free whole nutmeg,2.95
150,Wolfpack all-natural smoked ham hock,3.78
149,Ms. Wuf's carrot sticks,2.63
148,Jennings' lactose-free cupcake liners,8.21
147,DH Hill lactose-free lemon,5.52
146,Oval Drive extra sharp cheddar cheese,5.43
145,Belltower deli roast beef,11.51
144,Balik's all-natural spicy salsa,12.96
143,Lake Raleigh instant mashed russet potatoes,13.75
142,1812 free range toothbrush,8.4
141,Poe's vanilla ice cream,14.67
140,Red and White low cholesterol vodka sauce,12.79
139,Main Campus cholesterol-free cheese popcorn,7.56
138,Belltower cola,3.17
137,Leader of the Pack canned lima beans,14.33
136,Reynold's farfalle,4.66
135,Pullen Park fat-free turkey legs,7.47
134,Withers fat-free oatmeal cookies,11.04
133,Reynold's red potato,10.64
132,Main Campus fat-free pumpkin pie spice,10.91
131,Campus Corner cage free white rice,0.99
130,Heckman's no sugar added mayonnaise,13.96
129,DH Hill cholesterol-free enchilada sauce,2.08
128,Sturgill's non GMO coconut milk,3.17
127,Vet School cinnamon toast cereal,7.9
126,Red and White all-natural tonic water,12.09
125,Howler orange cake mix,6.07
124,Wolfpack free range white rice,4.39
123,Wolf Leader yogurt,12.64
122,Belltower low cholesterol shredded wheat cereal,12.03
121,Wolves Den no MSG added toothbrush,13.06
120,Engineering lactose-free chicken tenderloins,8.04
119,Gorman orange frosting,12.66
118,Talley hand soap,0.97
117,Balik's lactose-free cookie dough,8.44
116,Sturgill's non GMO deli turkey,12.38
115,Thompkins fat-free mayonnaise,10.0
114,Ms. Wuf's low-sodium beef jerky,10.12
113,Vet School cage free cottage cheese,3.18
112,Pack raw salad shrimp,5.41
111,Brown's low cholesterol applesauce,12.93
110,Jennings' okra,13.1
109,Wolfpack white rice,8.76
108,Centennial fat-free worcestershire sauce,9.3
107,Leader of the Pack low cholesterol vanilla wafers,0.69
106,Heil's cottage cheese,9.67
105,Schmidt's non GMO sunflower seed butter,6.09
104,Poe's grain-free sunflower seed butter,9.34
103,Avent Ferry free range chocolate cake mix,2.37
102,King's no MSG added orange,0.67
101,Brown's all-natural ground basil,7.9
100,Avent Ferry low-sodium ground mustard,9.85
99,Wolves Den worcestershire sauce,13.58
98,Jennings' heavy cream,12.25
97,Vet School organic ham hock,1.78
96,North Shore fat-free orange marmalade,5.43
95,Mr. Wuf's canned peas and carrots,8.9
94,Gorman horseradish,6.83
93,Wolfpack low cholesterol chicken tenderloins,5.38
92,Mr. Wuf's shredded carrots,3.99
91,Dan Allen low-sodium spicy taco sauce,2.27
90,State lactose-free pork tenderloin,5.85
