PRODUCT_CODE,DESCRIPTION,PRICE
1,Reynold's non GMO ginger,0.57
2,Heil's vanilla pudding,7.25
3,DH Hill yogurt,14.12
4,Oval Drive seltzer water,8.47
5,Talley fresh worcestershire sauce,7.74
6,Heckman's jalapeno pepper,1.31
7,Hunt lactose-free salsa verde,6.98
8,Talley fat-free white chocolate pudding,6.95
9,Fairgrounds ricotta cheese,9.23
10,Schmidt's no MSG added lamb chop,2.81
11,Pullen Park low cholesterol deli roast beef,6.33
12,Daniels no MSG added greek yogurt,2.63
13,Pack chili powder,7.25
14,Poe's cage free ground cloves,5.45
15,Hillsborough ground beef,0.48
16,Pullen Park fresh king salmon fillet,6.73
17,Heil's no MSG added neopolitan ice cream,8.09
18,Hunt cholesterol-free frozen supreme pizza,12.71
19,Gorman pineapple,0.01
20,Hunt chocolate ice cream,11.7
21,Wolfpack cage free smoky bbq sauce,2.26
22,Sturgill's fat-free dried navy beans,3.98
23,Pack Pup non GMO lamb chop,14.18
24,Campus Corner waffle cones,14.13
25,Witherspoon orange soda,4.78
26,Campus Corner ham hock,3.44
27,Farmer's all-natural biscuit mix,2.03
28,Reynold's instant mashed russet potatoes,5.83
29,Dan Allen lactose-free taco kit,14.05
30,DH Hill heavy cream,0.35
31,Centennial tomato puree,6.63
32,Wolfpack cocktail sauce,1.34
33,Brown's low cholesterol 6-inch tortilla,9.21
34,Tuffy gluten-free taco shells,9.21
35,Reynold's cholesterol-free chocolate chip cookies,2.99
36,Avent Ferry canned green beans,3.03
37,North Shore vanilla ice cream,6.61
38,DH Hill chili powder,14.23
39,Howling Wolf low cholesterol mayonnaise,4.72
40,Oval Drive free range carolina bbq sauce,1.79
41,Daniels white onion,13.47
42,Farmer's dried lima beans,1.31
43,Lake Raleigh no sugar added watermelon,4.39
44,Hunt basil,3.47
45,Daniels soy sauce,11.88
46,Balik's free range salted butter,14.27
47,Talley no sugar added peanut butter and jelly,1.97
48,Western Blvd cholesterol-free tilapia fillet,4.31
49,Wolf Leader cookie cereal,3.62
50,Main Campus fresh applesauce,7.92
51,Vet School no MSG added taco kit,2.25
52,DH Hill butterscotch pudding,10.95
53,Centennial mustard,4.6
54,Farmer's ground chicken,6.88
55,Farmer's sunflower seed butter,1.25
56,Avent Ferry canned lima beans,13.54
57,Sturgill's cholesterol-free multigrain sandwich bread,8.56
58,Centennial mustard,1.27
59,Witherspoon broccoli,14.13
60,Pack Pup instant mashed russet potatoes,12.02
61,Howling Wolf sweet potato,3.93
62,Pullen Park beef jerky,0.88
63,Pack cage free thyme leaves,13.2
64,Daniels tonic water,7.81
