PRODUCT_CODE,DESCRIPTION,PRICE
65536,State fat-free instant mashed red potatoes,13.54
65535,Ms. Wuf's vanilla frosting,9.33
65534,Brown's no sugar added italian dressing,11.6
65533,Heil's grain-free raw salad shrimp,0.08
65532,Sturgill's sausage,2.25
65531,Wolf Leader chocolate ice cream,0.33
65530,Pullen Park free range english muffins,9.76
65529,Howler liquid bleach,5.44
65528,Sturgill's free range plain croutons,5.48
65527,Brown's no sugar added english muffins,7.1
65526,Pullen Park biscuit mix,8.28
65525,Heckman's cage free tortilla chips,11.01
65524,Avent Ferry pretzels,10.24
65523,Hunt okra,9.11
65522,Daniels fresh bandages,2.82
65521,Pack Pup canned mystery meat,1.6
65520,Howler sourdough bread,1.12
65519,Pack lactose-free whole nutmeg,13.93
65518,Tuffy free range chocolate pudding ,0.15
65517,Jennings' baked beans,14.98
65516,Belltower diced tomatoes,6.25
65515,North Shore free range granola bar,5.92
65514,Brown's no MSG added butter crackers,7.24
65513,Farmer's instant mashed russet potatoes,6.0
65512,Stinson baked beans,13.26
65511,Mr. Wuf's cage free pancake mix,1.31
65510,Vet School cooked jumbo shrimp,12.54
65509,Red and White paper utensils,10.22
65508,Wolf Leader garlic powder,12.97
65507,Reynold's greek yogurt,1.92
65506,Lake Raleigh chocolate bar,9.82
65505,Dan Allen ginger,3.19
65504,Avent Ferry canned green beans,9.13
65503,Heckman's low-sodium unsalted butter,0.52
65502,Campus Corner white bread,2.46
65501,Pullen Park fresh okra,11.59
65500,Daniels lactose-free scallion,13.97
65499,Mr. Wuf's free range cashew butter,12.5
65498,Western Blvd bread flour,5.3
65497,State smoked turkey leg,10.71
65496,Dan Allen frozen meat pizza,13.41
65495,North Shore grain-free multigrain sandwich bread,5.05
65494,Pack Pup cooked salad shrimp,6.21
65493,Jennings' smoky bbq sauce,3.36
65492,Wolf Leader low cholesterol ground pork,4.83
65491,Oval Drive ranch dressing,4.74
65490,Wolves Den shredded carrots,6.19
65489,Wolfpack white sandwich bread,7.44
65488,Gorman cholesterol-free peanut butter crackers,2.44
65487,Lake Raleigh peach jam,13.27
65486,Witherspoon fat-free peach jam,11.4
65485,Red and White organic scallion,14.82
65484,Wolves Den no sugar added deli roast beef,11.53
65483,Heil's vanilla ice cream,11.54
65482,Schmidt's cage free plain potato chips,1.48
65481,Harrelson smoked sausage,7.0
65480,Tuffy low cholesterol coconut cake mix,3.02
65479,Witherspoon cage free vodka sauce,13.33
65478,Talley cottage cheese,3.92
65477,Wolves Den no MSG added tomato and basil sauce,10.13
65476,Farmer's iodized salt,0.99
65475,Hunt chocolate chip cookies,4.4
65474,Brown's low cholesterol basil,11.01
65473,Heil's shredded carrots,0.29
65472,Poe's grain-free basmati rice,14.35
65471,Mr. Wuf's self-rising flour,6.6
65470,Campus Corner banana,12.93
65469,Gorman fat-free thick-cut bacon,7.34
65468,Wolf Leader non GMO king salmon fillet,12.5
65467,Reynold's low-sodium russet potato,8.99
65466,Pack whole black peppercorns,14.56
65465,Harrelson spicy salsa,5.68
65464,Red and White heavy cream,10.9
65463,Wolves Den unsalted butter,7.42
65462,Withers peanut butter,8.2
65461,Pack Pup ketchup,10.7
65460,Dan Allen ground thyme,4.89
65459,King's caesar salad kit,6.8
65458,Harrelson bacon,14.6
65457,Leader of the Pack all-natural angel hair noodles,5.18
65456,Heil's fat-free shredded wheat cereal,13.34
65455,Farmer's low-sodium turkey breast,4.73
65454,Fairgrounds gluten-free ground thyme,12.83
65453,Witherspoon ranch dressing,12.41
65452,Jennings' gluten-free canned creamed corn,4.97
65451,Vet School fat-free self-rising flour,12.99
65450,Jennings' non GMO blue potato,9.49
65449,Belltower chicken thigh,2.36
65448,Belltower sour cream and onion chips,7.33
65447,Witherspoon ground nutmeg,15.0
65446,Oval Drive ibuprofen,7.03
65445,North Shore low-sodium mild taco seasoning,6.19
65444,Leader of the Pack cage free chocolate cream cookies,6.86
65443,Hunt tomato puree,6.09
65442,Balik's all-natural mouthwash,5.12
65441,Daniels bandages,3.43
65440,Tuffy cholesterol-free orange frosting,1.42
65439,State raw medium shrimp,9.13
65438,DH Hill raw salad shrimp,6.09
65437,Lake Raleigh tomato,0.26
65436,Hillsborough grape soda,1.9
65435,1812 no MSG added butter crackers,12.8
65434,Heckman's fat-free whole chicken,12.98
65433,State lactose-free ground allspice,2.74
65432,Red and White blue potato,13.93
65431,Vet School ground rosemary,13.73
65430,Daniels spicy brown mustard,3.03
65429,Gorman cage free tilapia fillet,6.66
65428,Gorman gluten-free dried navy beans,13.72
65427,Engineering apple jelly,6.67
65426,Red and White cage free cabbage,3.32
65425,Main Campus thyme,7.36
65424,Dan Allen no sugar added angel hair noodles,7.49
65423,Schmidt's organic lemonade,3.15
65422,Wolves Den low cholesterol yukon gold potato,9.93
65421,Pullen Park fresh apple,12.68
65420,Howler extra sharp cheddar cheese,11.35
65419,Leader of the Pack whole turkey,11.55
65418,1812 cage free deli turkey,2.49
65417,Avent Ferry cholesterol-free italian salad kit,3.65
65416,Sturgill's non GMO canned lima beans,4.83
65415,Wolves Den no sugar added orange marmalade,8.37
65414,Howler fresh enchilada sauce,1.86
65413,Avent Ferry all-natural black pepper,10.59
65412,Howling Wolf fat-free basil,2.87
65411,Howling Wolf fruity cereal,4.36
65410,Daniels low cholesterol butterscotch pudding,8.98
65409,DH Hill whole turkey,14.57
65408,Reynold's biscuit mix,2.53
65407,Leader of the Pack vanilla ice cream,13.25
65406,Farmer's lactose-free chocolate cake mix,8.34
65405,Brown's non GMO smoked ham hock,11.94
65404,Ms. Wuf's mild taco seasoning,14.66
65403,Talley fresh grape jelly,1.31
65402,Withers non GMO iced oatmeal cookies,9.66
65401,Hunt fat-free carrot sticks,2.71
65400,Reynold's organic macaroni and cheese,6.14
65399,Mr. Wuf's cholesterol-free coconut milk,14.06
65398,Pullen Park low cholesterol chicken breast,8.93
65397,Fairgrounds fresh paper plates,10.8
65396,Witherspoon cholesterol-free ketchup,4.58
65395,Brown's no MSG added ham hock,7.25
65394,Wolf Leader frozen supreme pizza,13.13
65393,Lake Raleigh butter crackers,9.1
65392,Pack Pup dried lentils,4.09
65391,Leader of the Pack lactose-free vanilla wafers,13.29
65390,State grain-free waffle cones,10.25
65389,Heckman's lactose-free black pepper,3.71
65388,Reynold's salsa verde,7.64
65387,Heckman's organic ricotta cheese,6.56
65386,Hunt low-sodium canned chickpeas,8.94
65385,Talley organic ibuprofen,9.87
65384,Wolves Den multigrain bread,9.03
65383,Withers free range birthday cake ice cream,4.92
65382,Mr. Wuf's cage free ground cloves,9.6
65381,Brown's non GMO shredded wheat cereal,9.2
65380,Oval Drive no sugar added coconut milk,4.87
65379,Thompkins basil leaves,3.6
65378,Jennings' all-natural pancake mix,6.36
65377,Jennings' eggs,5.86
65376,Stinson mayonnaise,9.34
65375,King's cholesterol-free rye bread,10.36
65374,Howling Wolf lactose-free lettuce,2.13
65373,Heckman's low cholesterol cabbage,4.9
65372,Western Blvd cheese crackers,8.51
65371,Mr. Wuf's free range dijon mustard,0.99
65370,Farmer's canned creamed corn,5.34
65369,Hunt pork tenderloin,7.58
65368,Daniels cooked medium shrimp,1.09
65367,DH Hill dried lima beans,10.0
65366,Campus Corner cooked salad shrimp,6.82
65365,Hunt raw jumbo shrimp,12.59
65364,DH Hill low cholesterol canned french cut green beans,12.56
65363,Gorman non GMO taco kit,4.42
65362,Gorman no MSG added biscuit mix,10.96
65361,Leader of the Pack taco kit,1.5
65360,Lake Raleigh cage free whole cloves,5.35
65359,Heil's fresh tortellini,10.32
65358,Jennings' toothpaste,6.05
65357,Western Blvd mozzerella cheese,1.09
65356,Wolf Leader tomato,5.35
65355,King's yogurt,1.02
65354,Schmidt's carrot sticks,3.53
65353,Witherspoon non GMO buttercream frosting,3.13
65352,Centennial butterscotch pudding,0.07
65351,Thompkins tomato and basil sauce,4.4
65350,Engineering cholesterol-free yukon gold potato,4.97
65349,Engineering whole nutmeg,14.46
65348,Vet School all-natural lamb chop,2.95
65347,Wolf Leader low cholesterol worcestershire sauce,1.07
65346,Tuffy worcestershire sauce,7.8
65345,Pullen Park grain-free coconut milk,11.64
65344,DH Hill bread flour,0.78
65343,Harrelson taco kit,2.45
65342,Wolves Den organic canned mystery meat,1.68
65341,Hunt rosemary leaves,11.51
65340,Lake Raleigh no sugar added mild taco sauce,12.65
65339,Jennings' lactose-free deli ham,5.15
65338,Daniels no MSG added ground chicken,6.38
65337,Hunt lactose-free cheddar cheese,1.64
65336,Howler cholesterol-free spicy brown mustard,7.36
65335,Campus Corner no sugar added diced tomatoes,4.06
65334,Pullen Park grain-free chocolate frosting,9.49
65333,Heil's deli roast beef,9.86
65332,Jennings' non GMO cooked large shrimp,4.42
65331,Talley free range rosemary leaves,11.89
65330,Farmer's fat-free white onion,7.4
65329,Red and White cholesterol-free liquid bleach,13.63
65328,Lake Raleigh mild cheddar cheese,10.16
65327,Farmer's all-natural pretzel sticks,10.27
65326,Ms. Wuf's peanut butter crackers,10.24
65325,Pack Pup peach jam,7.48
65324,DH Hill fresh red currant jelly,8.6
65323,Gorman no sugar added hazelnut spread,13.57
65322,Engineering ketchup,7.17
65321,Wolf Leader grain-free cheese crackers,11.54
65320,Mr. Wuf's lemon cake mix,14.57
65319,Dan Allen fat-free fruity cereal,4.84
65318,DH Hill yellow cake mix,8.56
65317,Jennings' lactose-free ketchup,10.3
65316,Pack Pup chocolate frosting,5.83
65315,Gorman macaroni and cheese with broccoli,4.21
65314,Ms. Wuf's apple jelly,6.62
65313,Vet School low-sodium deodorant,9.9
65312,Wolf Leader gluten-free syrup,11.75
65311,Wolf Leader granola bar,8.97
65310,Pullen Park no MSG added whole turkey,0.01
65309,King's lactose-free squash,4.8
65308,Main Campus baked beans,11.0
65307,Daniels white chocolate pudding,7.77
65306,Mr. Wuf's vanilla frosting,13.57
65305,Balik's fat-free cauliflower,11.75
65304,Mr. Wuf's organic liquid bleach,7.49
65303,Tuffy low-sodium fruity cereal,4.22
65302,Vet School cholesterol-free cookie cereal,11.92
65301,State low-sodium chicken breast,2.77
65300,Talley broccoli,1.74
65299,Farmer's gluten-free french dressing,11.92
65298,Poe's syrup,12.94
65297,Heil's yukon gold potato,9.05
65296,Pullen Park tomato,9.85
65295,North Shore sweet pickle cubes,13.64
65294,Fairgrounds macaroni and 5 cheese,1.04
65293,King's fat-free basil,0.22
65292,Campus Corner gluten-free shredded carrots,2.77
65291,Vet School jalapeno pepper,0.92
65290,Heckman's no sugar added french dressing,6.32
65289,Heckman's no MSG added vanilla pudding,8.64
65288,Main Campus organic pretzel sticks,4.85
65287,Leader of the Pack peanuts,6.78
65286,State sourdough bread,13.18
65285,Western Blvd rosemary leaves,9.3
65284,Withers cholesterol-free liquid bleach,13.9
65283,Engineering ground allspice,10.74
65282,Belltower kosher pickle spears,14.92
65281,Engineering low cholesterol dinner rolls,14.08
65280,1812 macaroni and cheese with broccoli,5.44
65279,Western Blvd ham hock,5.97
65278,Howling Wolf cage free canned lima beans,9.08
65277,Hillsborough fat-free turkey wings,8.05
65276,1812 free range taco kit,13.21
65275,DH Hill lactose-free raw jumbo shrimp,9.33
65274,King's fresh ibuprofen,3.79
65273,Engineering grain-free vodka sauce,13.42
65272,Vet School fat-free whole turkey,7.29
65271,Hunt low cholesterol toothbrush,11.54
65270,Hillsborough no sugar added tomato paste,7.01
65269,Jennings' gluten-free banana,12.61
65268,Fairgrounds lemon cake mix,4.42
65267,King's all-natural thick-cut bacon,6.52
65266,Engineering tomato puree,7.47
65265,Belltower organic pork tenderloin,13.15
65264,State kosher dill pickles,6.58
65263,Oval Drive fat-free spicy taco sauce,7.39
65262,Schmidt's frozen pepperoni pizza,7.66
65261,Hillsborough free range chicken thigh,9.0
65260,Hillsborough grain-free chili sauce,1.77
65259,Reynold's thyme,14.74
65258,Hillsborough peanuts,6.18
65257,Stinson honey bbq sauce,2.05
65256,Balik's canned carrots,0.04
65255,Thompkins organic aspirin,13.71
65254,Avent Ferry multigrain sandwich bread,2.36
65253,Centennial no sugar added onion powder,0.85
65252,Dan Allen low-sodium lamb chop,4.86
65251,Lake Raleigh fresh smoked ham hock,4.2
65250,Gorman multigrain tortilla chips,4.14
65249,Jennings' basil,3.05
65248,Gorman coleslaw kit,3.74
65247,Stinson fresh thousand island dressing,4.5
65246,Howler grain-free baked beans,13.79
65245,Heckman's lactose-free tomato sauce,10.25
65244,Lake Raleigh turkey legs,8.18
65243,Campus Corner non GMO multigrain sandwich bread,5.21
65242,Red and White sweet pickle cubes,1.42
65241,Wolfpack organic ground nutmeg,10.52
65240,Wolves Den no MSG added macaroni and cheese,4.0
65239,Witherspoon free range toothbrush,3.38
65238,Withers ginger,5.7
65237,Gorman no MSG added red potato,9.16
65236,Thompkins low-sodium canned garden peas,12.22
65235,Pack Pup fresh horseradish,8.83
65234,Howler no MSG added marinara sauce,14.66
65233,Heckman's orange frosting,12.67
65232,1812 aspirin,2.25
65231,Avent Ferry low cholesterol orange soda,8.45
65230,Withers chili powder,8.4
65229,Harrelson gluten-free vanilla wafers,14.82
65228,Hunt lemon frosting,14.03
65227,Hunt free range cheddar cheese,5.73
65226,Wolves Den iced oatmeal cookies,2.49
65225,Vet School low cholesterol cinnamon toast cereal,7.01
65224,Howler low-sodium peanut butter and jelly,4.59
65223,State free range ricotta cheese,14.47
65222,Witherspoon low-sodium raw medium shrimp,9.42
65221,Vet School low-sodium thousand island dressing,11.51
65220,Balik's no sugar added instant mashed red potatoes,14.33
65219,Daniels red potato,2.02
65218,Brown's gluten-free carrot,13.27
65217,Wolf Leader ground rosemary,10.45
65216,Centennial half and half,7.1
65215,Belltower smoked turkey leg,8.39
65214,King's grain-free mild salsa,2.19
65213,Reynold's no MSG added basmati rice,13.23
65212,Poe's sweet pickle cubes,14.56
65211,Stinson cage free chicken tenderloins,4.99
65210,Hunt biscuit mix,10.13
65209,Heil's orange marmalade,10.58
65208,Daniels whole turkey,4.57
65207,Pullen Park banana,4.44
65206,Pack lactose-free chocolate ice cream,12.13
65205,Talley fresh pork roast,10.48
65204,Red and White grain-free extra sharp cheddar cheese,13.57
65203,Wolves Den no sugar added waffle cones,6.02
65202,State no sugar added whole chicken,8.84
65201,Wolf Leader chocolate chip cookies,5.78
65200,Main Campus tonic water,12.51
65199,Hillsborough mustard,11.85
65198,Vet School white bread,8.96
65197,Daniels grain-free deodorant,3.4
65196,Avent Ferry carolina bbq sauce,8.74
65195,Hunt low cholesterol dish soap,9.57
65194,Vet School ginger,4.12
65193,Heckman's grain-free raw large shrimp,3.39
65192,Gorman laundry detergent,7.86
65191,Talley fat-free smoked sausage,7.36
65190,Howling Wolf cage free bandages,14.02
65189,Hillsborough low cholesterol chocolate pudding ,3.52
65188,Witherspoon cage free honey mustard,13.5
65187,Jennings' all-natural mild taco sauce,10.86
65186,Reynold's no MSG added sausage,4.18
65185,Talley grain-free lime,11.21
65184,Hillsborough no MSG added tortellini,8.7
65183,Pullen Park taco shells,11.72
65182,Dan Allen raw medium shrimp,4.95
65181,DH Hill grain-free yukon gold potato,4.13
65180,Pack Pup coconut cake mix,4.27
65179,Red and White no sugar added grape soda,12.01
65178,Witherspoon lactose-free cooked jumbo shrimp,14.29
65177,Leader of the Pack all-natural pork tenderloin,6.47
65176,Reynold's grain-free onion powder,13.62
65175,Hillsborough fat-free apple,4.75
65174,Sturgill's vodka sauce,4.58
65173,Heil's gluten-free canned biscuits,6.22
65172,King's cheese crackers,3.01
65171,Centennial no sugar added ice cream cones,13.4
65170,Tuffy marinara sauce,14.92
65169,Belltower ground basil,14.28
65168,Daniels free range spaghetti noodles,9.57
65167,Leader of the Pack lactose-free taco shells,0.47
65166,Howling Wolf instant mashed russet potatoes,8.35
65165,Witherspoon free range thyme,6.23
65164,Daniels fresh oatmeal cookies,5.52
65163,King's sourdough bread,4.51
65162,Belltower all-natural scallion,9.56
65161,Centennial low-sodium red potato,7.85
65160,DH Hill cholesterol-free canned potatoes,6.67
65159,Poe's gluten-free tilapia fillet,11.46
65158,Pack Pup cage free cooked medium shrimp,9.12
65157,Schmidt's no MSG added extra sharp cheddar cheese,13.76
65156,Avent Ferry all-natural spicy brown mustard,2.38
65155,Daniels jalapeno pepper,7.88
65154,Red and White organic canned blackeyed peas,5.27
65153,Thompkins grain-free granola bar,13.49
65152,Harrelson cookie butter,2.17
65151,Pack pork roast,8.14
65150,Hunt low cholesterol taco kit,14.25
65149,Stinson non GMO grape jelly,5.9
65148,Belltower bandages,4.95
65147,Pullen Park yellow cake mix,0.48
65146,Hunt free range ground allspice,1.11
65145,Pack Pup all-natural apple,0.92
65144,Heckman's grain-free okra,11.94
65143,Campus Corner gluten-free smoked sausage,7.5
65142,Thompkins all-natural pork tenderloin,6.42
65141,Pack Pup low-sodium cabbage,5.24
65140,Vet School gluten-free brown rice,6.7
65139,North Shore grain-free sourdough bread,3.33
65138,Gorman cholesterol-free banana,6.6
65137,Heckman's fat-free bell pepper,0.81
65136,Farmer's ranch dressing,11.21
65135,Lake Raleigh no sugar added sour cream and cheddar chips,0.91
65134,Howler macaroni and 5 cheese,2.25
65133,Reynold's no sugar added chocolate chip cookies,13.34
65132,King's low cholesterol unsalted butter,12.92
65131,Thompkins waffle cones,7.15
65130,Oval Drive low cholesterol chocolate cream cookies,0.67
65129,Stinson dijon mustard,3.19
65128,Howling Wolf blue potato,12.04
65127,Brown's cheery-o cereal,2.0
65126,Fairgrounds cholesterol-free iced oatmeal cookies,5.16
65125,Stinson coleslaw kit,2.0
65124,Dan Allen lactose-free ketchup,5.45
65123,1812 organic cooked jumbo shrimp,7.72
65122,Reynold's all-natural grape jelly,4.4
65121,King's low cholesterol spicy salsa,14.09
65120,Oval Drive cholesterol-free carolina bbq sauce,7.33
65119,Wolf Leader dried navy beans,6.75
65118,Avent Ferry sausage,8.49
65117,Centennial smoked ham hock,7.31
65116,Withers fresh sausage,10.85
65115,Ms. Wuf's carolina bbq sauce,4.71
65114,Harrelson hand soap,9.68
65113,North Shore almond butter,12.09
65112,Engineering grain-free rye bread,14.61
65111,Reynold's fresh cola,2.33
65110,Daniels pumpkin pie spice,10.34
